Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,40.540001,40.650002,36.950001,38.119999,38.119999,352375300
2021-04-12,37.959999,39.330002,34.060001,36.090000,36.090000,378802600
2021-04-19,36.779999,41.200001,35.360001,41.080002,41.080002,426993600
2021-04-26,41.959999,43.220001,37.349998,39.840000,39.840000,415261300
2021-05-03,40.340000,41.450001,35.770000,36.939999,36.939999,341890300
2021-05-10,36.779999,36.790001,30.709999,33.419998,33.419998,475607500
2021-05-17,33.330002,34.779999,32.590000,34.060001,34.060001,296309800
2021-05-24,34.259998,39.759998,33.560001,38.619999,38.619999,311101800
2021-05-31,39.990002,42.880001,39.939999,41.939999,41.939999,271358400
2021-06-07,41.669998,46.259998,41.439999,45.680000,45.680000,260448800
2021-06-14,45.950001,48.369999,43.770000,46.910000,46.910000,313099400
2021-06-21,46.549999,46.990002,43.810001,45.070000,45.070000,215642600
2021-06-28,45.720001,55.130001,45.549999,50.400002,50.400002,449918100
2021-07-05,49.400002,51.740002,42.730000,45.529999,45.529999,311915900
2021-07-12,45.970001,46.910000,42.400002,42.799999,42.799999,261953100
2021-07-19,41.490002,47.380001,40.480000,43.990002,43.990002,251569600
2021-07-26,42.669998,45.200001,38.660000,44.680000,44.680000,329790700
2021-08-02,44.650002,46.779999,43.450001,43.840000,43.840000,221315200
2021-08-09,43.700001,46.380001,40.610001,41.029999,41.029999,183773400
2021-08-16,39.459999,39.630001,36.240002,36.919998,36.919998,275732800
2021-08-23,37.439999,39.740002,37.040001,38.049999,38.049999,161107600
2021-08-30,38.169998,41.020000,36.639999,40.369999,40.369999,214163300
2021-09-06,40.849998,41.860001,37.549999,37.980000,37.980000,150178200
2021-09-13,38.009998,39.400002,36.560001,37.509998,37.509998,158896900
2021-09-20,36.110001,36.500000,34.540001,35.380001,35.380001,166834100
2021-09-27,35.430000,37.029999,34.419998,35.380001,35.380001,167842700
2021-10-04,35.020000,36.639999,33.169998,35.830002,35.830002,190054500
2021-10-11,36.090000,38.290001,35.180000,37.709999,37.709999,163499100
2021-10-18,37.490002,40.900002,37.270000,38.880001,38.880001,159844700
2021-10-25,39.400002,42.610001,39.189999,39.410000,39.410000,197759200
2021-11-01,38.110001,44.000000,38.110001,42.290001,42.290001,220191300
2021-11-08,42.650002,44.270000,38.830002,42.669998,42.669998,210830300
2021-11-15,42.599998,42.689999,37.450001,38.660000,38.660000,192829900
2021-11-22,40.419998,43.119999,39.099998,39.990002,39.990002,190017500
2021-11-29,40.849998,41.419998,31.500000,32.150002,32.150002,322720600
2021-12-06,32.349998,35.549999,29.660000,34.259998,34.259998,239160100
2021-12-13,33.680000,34.669998,28.020000,30.000000,30.000000,255939900
2021-12-20,29.450001,30.799999,27.790001,30.520000,30.520000,207347400
2021-12-27,30.389999,33.040001,27.520000,31.680000,31.680000,320873000
2022-01-03,33.520000,33.799999,28.280001,29.299999,29.299999,244100700
2022-01-10,29.000000,31.860001,27.780001,30.950001,30.950001,210844900
2022-01-17,30.030001,30.910000,27.219999,27.350000,27.350000,172697600
2022-01-24,25.730000,25.980000,19.309999,20.900000,20.900000,394281500
2022-01-31,21.730000,25.230000,21.600000,23.959999,23.959999,339631500
2022-02-07,23.780001,26.410000,23.530001,24.100000,24.100000,241024500
2022-02-14,23.760000,26.270000,22.740000,23.209999,23.209999,207938300
2022-02-21,22.360001,22.959999,18.469999,20.940001,20.940001,239695700
2022-02-28,21.430000,23.350000,18.549999,18.629999,18.629999,319433300
2022-03-07,18.850000,20.549999,16.070000,16.070000,16.070000,437760300
2022-03-14,15.090000,21.240000,13.010000,20.860001,20.860001,644733600
2022-03-21,20.750000,22.600000,19.330000,19.910000,19.910000,462408100
2022-03-28,20.420000,23.860001,20.320000,21.930000,21.930000,443327300
2022-04-01,22.410000,23.215000,21.559999,21.930000,21.930000,110169251
